Ectopic_Pregnancy	Ectopic Pregnancy (PEDS)	Abnormal_Pregnancy
Morning_Sickness	Morning Sickness (PEDS)	Early_Pregnancy_Symptom
Anorexia_Nervosa	Anorexia Nervosa (PEDS)	Eating_Disorder
Binge_Eating_Disorder	Binge Eating Disorder (PEDS)	Eating_Disorder
Bulimia	Bulimia Nervosa (PEDS)	Eating_Disorder
Pregnancy_in_Abdomen	Abdominal Pregnancy (PEDS)	Ectopic_Pregnancy
Angular_Pregnancy	Angular Pregnancy (PEDS)	Ectopic_Pregnancy
Cornual_Pregnancy	Cornual Pregnancy (PEDS)	Ectopic_Pregnancy
Pregnancy_in_Ovary	Ovarian Pregnancy (PEDS)	Ectopic_Pregnancy
Pregnanct_in_Fallopian_Tube	Tubal Pregnancy (PEDS)	Ectopic_Pregnancy
Anasarca	Anasarca (NRNT)	Edema
Hyperammonemia	Hyperammonemia (NRNT)	Electrolyte_Disorder
Hyperkalemia	Hyperkalemia (NRNT)	Electrolyte_Disorder
Hypermagnesemia	Hypermagnesemia (NRNT)	Electrolyte_Disorder
Hypocalcemia	Hypocalcemia (NRNT)	Electrolyte_Disorder
Hypomagnesemia	Hypomagnesemia (NRNT)	Electrolyte_Disorder
Hyponatremia	Hyponatremia (NRNT)	Electrolyte_Disorder
Hypophosphatasia	Hypophosphatasia (NRNT)	Electrolyte_Disorder
Lactic_Acidosis	Lactic Acidosis (NRNT)	Electrolyte_Disorder
Renal_Tubular_Acidosis	Renal Tubular Acidosis (NRNT)	Electrolyte_Disorder
Embryonic_Structure	Embryonic Structure (PEDS)	Embryologic_Structure_or_System
Fetus	Fetus (PEDS)	Embryonic_Structure
Fontanelle	Fontanelle (PEDS)	Embryonic_Structure
Lanugo	Lanugo (PEDS+NRNT)	Embryonic_Structure
Periventricular_Leukomalacia	Periventricular Leukomalacia (NRNT)	Encephalomalacia
Hypoxic_Encephalopathy	Hypoxic Ischemic Encephalopathy (NRNT)	Encephalopathy
Kernicterus_due_to_Isoimmunization	Kernicterus due to Isoimmunization (NRNT)	Encephalopathy
Kernicterus	Kernicterus Not due to Isoimmunization (NRNT)	Encephalopathy
Glycine_Encephalopathy	Non-Ketotic Hyperglycinemia (NRNT)	Encephalopathy
Adrenal_Gland_Insufficiency	Adrenal Cortical Hypofunction (NRNT)	Endocrine_Disorder
Diabetes_Insipidus	Diabetes Insipidus (NRNT)	Endocrine_Disorder
Dwarfism	Dwarfism (NRNT)	Endocrine_Disorder
Endemic_Cretinism	Endemic Cretinism (NRNT)	Endocrine_Disorder
Goiter	Goiter (PEDS)	Endocrine_Disorder
Hormone_Imbalance	Hormone Imbalance (PEDS)	Endocrine_Disorder
Hyperparathyroidism	Hyperparathyroidism (NRNT)	Endocrine_Disorder
Hyperthyroidism	Hyperthyroidism (NRNT)	Endocrine_Disorder
Hypoparathyroidism	Hypoparathyroidism (NRNT)	Endocrine_Disorder
Hypothyroidism	Hypothyroidism (NRNT)	Endocrine_Disorder
Islet_Cell_Adenomatosis	Islet Cell Hyperplasia (NRNT)	Endocrine_Disorder
Neonatal_Diabetes_Mellitus	Neonatal Diabetes Mellitus (NRNT)	Endocrine_Disorder
Hypopituitarism	Panhypopituitarism (NRNT)	Endocrine_Disorder
Polycystic_Ovary_Syndrome	Polycystic Ovary Syndrome (PEDS)	Endocrine_Disorder
Pseudohypoparathyroidism	Pseudohypoparathyroidism (NRNT)	Endocrine_Disorder
Somatotropin_Deficiency	Somatotropin Deficiency (NRNT)	Endocrine_Disorder
Inappropriate_Antidiuretic_Hormone_Secretion_Syndrome	Syndrome of Inappropriate Vasopressin Secretion (NRNT)	Endocrine_Disorder
Five_Alpha_Steroid_Reductase_2_Deficiency	3-Oxo-5 Alpha-Steroid Delta 4-Dehydrogenase Deficiency (NRNT)	Enzyme_Deficiency
Methylenetetrahydrofolate_Reductase_Deficiency	5,10-Methylenetetrahydrofolate Reductase Deficiency (NRNT)	Enzyme_Deficiency
Argininosuccinic_Aciduria	Argininosuccinate Lyase Deficiency (NRNT)	Enzyme_Deficiency
Holocarboxylase_Synthetase_Deficiency	Biotin-(Propionyl-Coa-Carboxylase) Ligase Deficiency (NRNT)	Enzyme_Deficiency
Biotinidase_Deficiency	Biotinidase Deficiency (NRNT)	Enzyme_Deficiency
Carnitine_Palmitoyltransferase_I_Deficiency	Carnitine Palmitoyltransferase I Deficiency (NRNT)	Enzyme_Deficiency
Cytochrome-C_Oxidase_Deficiency	Cytochrome-C Oxidase Deficiency (NRNT)	Enzyme_Deficiency
Sanfilippo_Syndrome	Deficiency of Acetyl-CoA Acyltransferase (NRNT)	Enzyme_Deficiency
Two-Methylbutyryl-CoA_Dehydrogenase_Deficiency	Deficiency of Butyryl-Coa Dehydrogenase (NRNT)	Enzyme_Deficiency
NADH_Dehydrogenase_Deficiency	Deficiency of Nadh Dehydrogenase (Ubiquinon) (NRNT)	Enzyme_Deficiency
Deficiency_of_Steroid_21-Monooxygenase	Deficiency of Steroid 21-Monooxygenase (NRNT)	Enzyme_Deficiency
Pyruvate_Carboxylase_Deficiency	Disorder of Pyruvate Metabolism and Mitochondrial Respiratory Chain (NRNT)	Enzyme_Deficiency
Glucose-6-Phosphate_Dehydrogenase_Deficiency	G-6-Pd Variant Enzyme Deficiency Anemia (NRNT)	Enzyme_Deficiency
Krabbe_Disease	Galactosylceramide Beta-Galactosidase Deficiency (NRNT)	Enzyme_Deficiency
Acyl-CoA_Dehydrogenase_Long-Chain_Deficiency	Long Chain Acyl-CoA Dehydrogenase Deficiency (NRNT)	Enzyme_Deficiency
Acyl-CoA_Dehydrogenase_Medium-Chain_Deficiency	Medium-Chain Acyl-CoA Dehydrogenase Deficiency (NRNT)	Enzyme_Deficiency
Methemoglobin_Reductase_Deficiency	Methemoglobin Reductase Deficiency (NRNT)	Enzyme_Deficiency
Three-Methylcrotonyl-CoA_Carboxylase_Deficiency	Methylcrotonyl-Coa Carboxylase Deficiency (NRNT)	Enzyme_Deficiency
Phosphoenolpyruvate_Carboxykinase_Deficiency	Phosphoenolpyruvate Carboxykinase (Gtp) Deficiency (NRNT)	Enzyme_Deficiency
Acyl-CoA_Dehydrogenase_Very_Long-Chain_Deficiency	Very Long Chain Acyl-CoA Dehydrogenase Deficiency (NRNT)	Enzyme_Deficiency
Behavioral_Assessment	Behavioral Assessment (PEDS+NRNT)	Evaluation
Clinical_Assessment_Tool	Clinical Assessment Tool (PEDS+NRNT)	Evaluation
Neurologic_Examination	Neurologic Examination (PEDS+NRNT)	Evaluation
Physical_Examination	Physical Examination (PEDS)	Evaluation
Protein_C_Deficiency	Protein C Deficiency Disease (NRNT)	Excessive_Blood_Clotting
Protein_S_Deficiency	Protein S Deficiency Disease (NRNT)	Excessive_Blood_Clotting
Exophthalmos	Exophthalmos (NRNT)	Eye_Finding
Glaucoma	Glaucoma (NRNT)	Eye_Finding
Immature_Retinal_Vasculature	Immature Retinal Vasculature (NRNT)	Eye_Finding
Ocular_Injury	Injury of Eye Region (NRNT)	Eye_Finding
Retinal_Examination	Retinal Examination (NRNT)	Eye_Finding
Congenital_Facial_Nerve_Palsy	Congenital Facial Nerve Palsy (NRNT)	Facial_Nerve_Paralysis
Facial_Nerve_Palsy_due_to_Birth_Trauma	Facial Nerve Palsy due to Trauma (NRNT)	Facial_Nerve_Paralysis
Bottle_Feeding	Bottle Feeding (PEDS)	Feeding_Method
Abnormal_Pregnancy	Abnormal Pregnancy (PEDS)	Female_Reproductive_System_Disorder
Chorioamnionitis	Chorioamnionitis (PEDS)	Female_Reproductive_System_Disorder
Pregnancy_Disorder	Disorder of Pregnancy (NRNT)	Female_Reproductive_System_Disorder
Eclampsia	Eclampsia (PEDS)	Female_Reproductive_System_Disorder
Endometriosis	Endometriosis (PEDS)	Female_Reproductive_System_Disorder
Fallopian_Tube_Obstruction	Fallopian Tube Obstruction (PEDS)	Female_Reproductive_System_Disorder
Vaginal_Fistula	Fistulous Opening In Vagina (NRNT)	Female_Reproductive_System_Disorder
Infertility	Infertility (PEDS)	Female_Reproductive_System_Disorder
Ovarian_Torsion	Torsion of Ovary (NRNT)	Female_Reproductive_System_Disorder
Uterine_Agenesis	Uterus Absent (NRNT)	Female_Reproductive_System_Disorder
Alcohol_Related_Birth_Defect	Alcohol Related Birth Defects (PEDS)	Fetal_Alcohol_Spectrum_Disorder
Alcohol_Related_Neurodevelopmental_Disorder	Alcohol Related Neurodevelopmental Disorder (PEDS)	Fetal_Alcohol_Spectrum_Disorder
Fetal_Alcohol_Syndrome	Fetal Alcohol Syndrome (PEDS+NRNT)	Fetal_Alcohol_Spectrum_Disorder
Abnormal_Fetal_Attitude	Abnormal Fetal Attitude (PEDS)	Fetal_Attitude
Deflexed_Fetal_Attitude	Deflexed Attitude (PEDS)	Fetal_Attitude
Extended_Fetal_Attitude	Extended Fetal Attitude (PEDS)	Fetal_Attitude
Flexed_Fetal_Attitude	Flexed Fetal Attitude (PEDS)	Fetal_Attitude
Neutral_Fetal_Attitude	Neutral Fetal Attitude (PEDS)	Fetal_Attitude
Persistent_Fetal_Bradycardia	Persistent Fetal Bradycardia (PEDS+NRNT)	Fetal_Bradycardia
Fetal_Heart_Rate_Monitoring	Fetal Heart Rate Monitoring (PEDS+NRNT)	Fetal_Examination
Fetal_Pulse_Oximetry	Fetal Pulse Oximetry (PEDS+NRNT)	Fetal_Examination
Cardiotocography	Intrapartum Cardiotocography (PEDS)	Fetal_Examination
ST_Waveform_Analysis	ST Waveform Analysis Technology (PEDS)	Fetal_Examination
Appropriate_for_Gestational_Age	Appropriate for Gestational Age (PEDS)	Fetal_Finding
Fetal_Attitude	Fetal Attitude (PEDS)	Fetal_Finding
Fetal_Heart_Finding	Fetal Heart Finding (PEDS+NRNT)	Fetal_Finding
Fetal_Position	Fetal Position (PEDS)	Fetal_Finding
Fetal_Presentation	Fetal Presentation (PEDS)	Fetal_Finding
Fetal_Station	Fetal Station (PEDS)	Fetal_Finding
Fetal_Bradycardia	Fetal Bradycardia (PEDS+NRNT)	Fetal_Heart_Finding
Fetal_Heart_Rate_Acceleration	Fetal Heart Rate Acceleration (PEDS+NRNT)	Fetal_Heart_Finding
Fetal_Heart_Rate_Deceleration	Fetal Heart Rate Deceleration (PEDS+NRNT)	Fetal_Heart_Finding
Fetal_Heart_Rate_Variability	Fetal Heart Rate Variability (PEDS+NRNT)	Fetal_Heart_Finding
Fetal_Heart_Rhythm	Fetal Heart Rhythm (NRNT)	Fetal_Heart_Finding
Fetal_Heart_Tone	Fetal Heart Tone (PEDS+NRNT)	Fetal_Heart_Finding
Fetal_Heart_Tone_Location	Fetal Heart Tone Location (PEDS+NRNT)	Fetal_Heart_Finding
Fetal_Tachycardia	Fetal Tachycardia (PEDS+NRNT)	Fetal_Heart_Finding
Baseline_Fetal_Heart_Rate	Baseline Fetal Heart Rate (PEDS+NRNT)	Fetal_Heart_Rate
Prolonged_Fetal_Heart_Rate_Acceleration	Prolonged Acceleration (PEDS+NRNT)	Fetal_Heart_Rate_Acceleration
Early_Fetal_Heart_Rate_Deceleration	Early Deceleration (PEDS+NRNT)	Fetal_Heart_Rate_Deceleration
Intermittent_Fetal_Heart_Rate_Deceleration	Intermittent Deceleration (PEDS+NRNT)	Fetal_Heart_Rate_Deceleration
Late_Fetal_Heart_Rate_Decerleration	Late Deceleration (PEDS+NRNT)	Fetal_Heart_Rate_Deceleration
Prolonged_Fetal_Heart_Rate_Deceleration	Prolonged Deceleration (PEDS+NRNT)	Fetal_Heart_Rate_Deceleration
Recurrent_Fetal_Heart_Rate_Decerleration	Recurrent Deceleration (PEDS+NRNT)	Fetal_Heart_Rate_Deceleration
Variable_Fetal_Heart_Rate_Deceleration	Variable Deceleration (PEDS+NRNT)	Fetal_Heart_Rate_Deceleration
Fetal_Beat_to_Beat_Variability	Beat to Beat Variability (PEDS+NRNT)	Fetal_Heart_Rate_Variability
R-R_interval	R-R Wave Period (PEDS+NRNT)	Fetal_Heart_Rate_Variability
Short-Term_Fetal_Heart_Rate_Variability	Short-Term Variability (PEDS+NRNT)	Fetal_Heart_Rate_Variability
Breech_Presentation	Breech Presentation (PEDS)	Fetal_Malpresentation
Compound_Fetal_Presentation	Compound Presentation (PEDS)	Fetal_Malpresentation
Shoulder_Presentation	Shoulder Presentation (PEDS)	Fetal_Malpresentation
Anterior_Occiput_Presentation	Anterior Occiput (PEDS)	Fetal_Position
Fetal_Position_above_Umbilicus	Fetal Position above Umbilicus (PEDS)	Fetal_Position
Fetal_Position_below_Umbilicus	Fetal Position below Umbilicus (PEDS)	Fetal_Position
Posterior_Occiput_Presentation	Posterior Occiput (PEDS)	Fetal_Position
Sinciput_Presentation	Sinciput (PEDS)	Fetal_Position
Transverse_Occiput_Presentation	Transverse Occiput (PEDS)	Fetal_Position
Cephalic_Presentation	Cephalic Presentation (PEDS)	Fetal_Presentation
Longitudinal_Fetal_Presentation	Longitudinal Fetal Presentation (PEDS)	Fetal_Presentation
Fetal_Malpresentation	Malpresentation of Fetus (PEDS)	Fetal_Presentation
Oblique_Fetal_Presentation	Oblique Fetal Presentation (PEDS)	Fetal_Presentation
Transverse_Fetal_Presentation	Transverse Fetal Presentation (PEDS)	Fetal_Presentation
Persistent_Fetal_Tachycardia	Persistent Fetal Tachycardia (PEDS+NRNT)	Fetal_Tachycardia
Cardiovascular_System_Finding	Cardiovascular Finding (NRNT)	Finding
Developmental_Stage	Child Development Status (NRNT)	Finding
Complication	Complication (NRNT)	Finding
Cyst	Cyst (PEDS+NRNT)	Finding
Gastrointestinal_System_Finding	Digestive System Finding (NRNT)	Finding
Withdrawal_Syndrome	Drug Withdrawal (NRNT)	Finding
Eye_Finding	Eye / Vision Finding (NRNT)	Finding
Hematopoietic_System_Finding	Hematopoietic System Finding (NRNT)	Finding
Integumentary_System_Finding	Integumentary System Finding (NRNT)	Finding
Connective_and_Soft_Tissue_Finding	Musculoskeletal Finding (NRNT)	Finding
Neurological_Signs_and_Symptoms	Neurological Finding (NRNT)	Finding
Observation_Result	Observational Result (PEDS)	Finding
Reproductive_System_Finding	Reproductive System Finding (PEDS)	Finding
Respiratory_System_Finding	Respiratory Finding (NRNT)	Finding
Sign_or_Symptom	Signs or Symptoms (PEDS)	Finding
Change_in_Voice	Voice Finding (NRNT)	Finding
Birth_Complication	Birth Complication (PEDS)	Finding_during_Childbirth_Labor
Internal_Fetal_Rotation	Internal Fetal Rotation (PEDS)	Finding_during_Childbirth_Labor
Active_Phase_of_Labor	Active Phase of Labor (PEDS)	First_Stage_of_Labor
Latent_Phase_of_Labor	Latent Phase of Labor (PEDS)	First_Stage_of_Labor
Transition_Phase_of_Labor	Transitional Phase of Labor (PEDS)	First_Stage_of_Labor
Fracture_of_Clavicle_due_to_Birth_Trauma	Fracture of Clavicle due to Birth Trauma (NRNT)	Fracture
Femur_Fracture	Fracture of Femur (NRNT)	Fracture
Fibula_Fracture	Fracture of Fibula (NRNT)	Fracture
Humerus_Fracture	Fracture of Humerus (NRNT)	Fracture
Fracture_of_Long_Bone_due_to_Birth_Trauma	Fracture of Long Bone due to Birth Trauma (NRNT)	Fracture
Radial_Fracture	Fracture of Radius (NRNT)	Fracture
Rib_Fracture	Fracture of Rib (NRNT)	Fracture
Skull_Fracture	Fracture of Skull (NRNT)	Fracture
Tibial_Fracture	Fracture of Tibia (NRNT)	Fracture
Preterm_Neonatal_Stage	Preterm Neonatal Stage (PEDS)	Full_Term_Neonatal_Stage
UTP-Hexose-1-Phosphate_Uridylyltransferase_Deficiency	Deficiency of Utp-Hexose-1-Phosphate Uridylyltransferase (NRNT)	Galactosemia
Cholestasis	Cholestasis (NRNT)	Gastrointestinal_Disorder
Esophageal_Fistula	Esophageal Fistula (NRNT)	Gastrointestinal_Disorder
Esophageal_Varix	Esophageal Varices (NRNT)	Gastrointestinal_Disorder
Esophageal_Web	Esophageal Web (NRNT)	Gastrointestinal_Disorder
Esophagitis	Esophagitis (NRNT)	Gastrointestinal_Disorder
Intestinal_Fistula	Fistula of Intestine (NRNT)	Gastrointestinal_Disorder
Gastroenteritis	Gastroenteritis (PEDS)	Gastrointestinal_Disorder
Gastroesophageal_Reflux_Disease	Gastroesophageal Reflux Disease (NRNT)	Gastrointestinal_Disorder
Gastrointestinal_Perforation	Gastrointestinal Perforation (NRNT)	Gastrointestinal_Disorder
Bowel_Obstruction	Intestinal Obstruction (NRNT)	Gastrointestinal_Disorder
Intestinal_Volvulus	Intestinal Volvulus (NRNT)	Gastrointestinal_Disorder
Malabsorption_Syndrome	Malabsorption Syndrome (NRNT)	Gastrointestinal_Disorder
Meconium_Plug_Syndrome	Meconium Plug (NRNT)	Gastrointestinal_Disorder
Neonatal_Hepatitis	Neonatal Hepatitis (NRNT)	Gastrointestinal_Disorder
Pyloric_Stenosis	Pyloric Stenosis (NRNT)	Gastrointestinal_Disorder
Colonic_Stenosis	Stenosis of Colon (NRNT)	Gastrointestinal_Disorder
Duodenal_Stenosis	Stenosis of Duodenum (NRNT)	Gastrointestinal_Disorder
Rectal_Stenosis	Stenosis of Rectum (NRNT)	Gastrointestinal_Disorder
Intestinal_Stricture	Stricture of Intestine (NRNT)	Gastrointestinal_Disorder
Tracheoesophageal_Fistula	Tracheoesophageal Fistula (NRNT)	Gastrointestinal_Disorder
Hematochezia	Hematochezia (NRNT)	Gastrointestinal_Hemorrhage
Perforation_Of_Esophagus	Perforation of Esophagus (NRNT)	Gastrointestinal_Perforation
Intestinal_Perforation	Perforation of Intestine (NRNT)	Gastrointestinal_Perforation
Ladd_Band	Band of Ladd (NRNT)	Gastrointestinal_System_Finding
Colonic_Band	Colonic Band (NRNT)	Gastrointestinal_System_Finding
Colonic_Web	Colonic Web (NRNT)	Gastrointestinal_System_Finding
Choledochal_Cyst	Congenital Choledochal Cyst (NRNT)	Gastrointestinal_System_Finding
Duodenal_Band	Duodenal Band (NRNT)	Gastrointestinal_System_Finding
Duodenal_Web	Duodenal Web (NRNT)	Gastrointestinal_System_Finding
Ileal_Band	Ileal Band (NRNT)	Gastrointestinal_System_Finding
Ileal_Web	Ileal Web (NRNT)	Gastrointestinal_System_Finding
Jejunal_Band	Jejunal Band (NRNT)	Gastrointestinal_System_Finding
Jejunal_Web	Jejunal Web (NRNT)	Gastrointestinal_System_Finding
Liver_Dysfunction	Liver Finding (NRNT)	Gastrointestinal_System_Finding
Jaundice	Jaundice (NRNT)	Gastrointestinal_System_Signs_and_Symptoms
Birth_Head_Circumference	Head Circumference At Initial Disposition (NRNT)	General_Appearance
Other	Other (PEDS)	General_Modifier
Wilms_Tumor-Aniridia-Genitourinary_Anomalies-Mental_Retardation_Syndrome	11P Partial Monosomy Syndrome (NRNT)	Genetic_Disorder
Barth_Syndrome	3-Methylglutaconic Aciduria Type 2 (NRNT)	Genetic_Disorder
Cri_du_Chat_Syndrome	5P Partial Monosomy Syndrome (NRNT)	Genetic_Disorder
Alpha-1_Antitrypsin_Deficiency	Alpha-1-Antitrypsin Deficiency (NRNT)	Genetic_Disorder
Testicular_Feminization_Syndrome	Androgen Resistance Syndrome (NRNT)	Genetic_Disorder
Angelman_Syndrome	Angelman Syndrome (NRNT)	Genetic_Disorder
Alagille_Syndrome	Arteriohepatic Dysplasia (NRNT)	Genetic_Disorder
Autosomal_Dominant_Inherited_Disorder	Autosomal Dominant Hereditary Disorder (NRNT)	Genetic_Disorder
Autosomal_Recessive_Inherited_Disorder	Autosomal Recessive Hereditary Disorder (NRNT)	Genetic_Disorder
Beckwith-Wiedemann_Syndrome	Beckwith-Wiedemann Syndrome (NRNT)	Genetic_Disorder
Carbohydrate-Deficient_Glycoprotein_Syndrome	Carbohydrate-Deficient Glycoprotein Syndrome (NRNT)	Genetic_Disorder
Ellis-Van_Creveld_Syndrome	Chondroectodermal Dysplasia (NRNT)	Genetic_Disorder
Chromosomal_Aberration	Chromosome Abnormality (NRNT)	Genetic_Disorder
CHARGE_Syndrome	Coloboma, Heart Malformation, Choanal Atresia, Retardation of Growth and Development, Genital Abnormalities, and Ear Malformations (Charge) Association (NRNT)	Genetic_Disorder
Congenital_Central_Hypoventilation_Syndrome	Congenital Central Hypoventilation (NRNT)	Genetic_Disorder
Hypoplastic_Left_Heart_Syndrome	Congenital Hypoplasia of Aortic Arch (NRNT)	Genetic_Disorder
Dandy_Walker_Malformation	Dandy-Walker Syndrome (NRNT)	Genetic_Disorder
Cornelia_De_Lange_Syndrome	De Lange Syndrome (NRNT)	Genetic_Disorder
DiGeorge_s_Syndrome	Digeorge Sequence (NRNT)	Genetic_Disorder
Ectodermal_Dysplasia	Ectodermal Dysplasia (NRNT)	Genetic_Disorder
Split_Hand_Foot_Malformation	Ectrodactyly (NRNT)	Genetic_Disorder
F5_Leiden_Allele	Factor V Leiden Mutation (NRNT)	Genetic_Disorder
Klippel-Feil_Syndrome	Klippel-Feil Sequence (NRNT)	Genetic_Disorder
Klippel-Trenaunay-Weber_Syndrome	Klippel-Trenaunay-Weber Syndrome (NRNT)	Genetic_Disorder
Oculocerebrorenal_Syndrome	Lowe Syndrome (NRNT)	Genetic_Disorder
Maple_Syrup_Urine_Disease	Maple Syrup Urine Disease (NRNT)	Genetic_Disorder
Meckel-Gruber_Syndrome	Meckel-Gruber Syndrome (NRNT)	Genetic_Disorder
MMIH_Syndrome	Megacystis, Microcolon, Hypoperistalsis Syndrome (NRNT)	Genetic_Disorder
Melnick-Fraser_Syndrome	Melnick-Fraser Syndrome (NRNT)	Genetic_Disorder
Menkes_Disease	Menkes Kinky-Hair Syndrome (NRNT)	Genetic_Disorder
Mitochondrial_Trifunctional_Protein_Deficiency	Mitochondrial Trifunctional Protein Deficiency (NRNT)	Genetic_Disorder
Noonan_Syndrome	Noonan's Syndrome (NRNT)	Genetic_Disorder
Potter_Syndrome	Oligohydramnios Sequence (NRNT)	Genetic_Disorder
Mobius_Syndrome	Oromandibular-Limb Hypogenesis Spectrum (NRNT)	Genetic_Disorder
Pallister_Killian_Syndrome	Pallister-Killian Syndrome (NRNT)	Genetic_Disorder
Pena-Shokeir_Syndrome	Pena-Shokeir Phenotype (NRNT)	Genetic_Disorder
Poland_Syndrome	Poland Anomaly (NRNT)	Genetic_Disorder
Prader_Willi_Syndrome	Prader-Willi Syndrome (NRNT)	Genetic_Disorder
Prune_Belly_Syndrome	Prune Belly Syndrome (NRNT)	Genetic_Disorder
Thrombocytopenia-Absent_Radius_Syndrome	Radial Aplasia-Thrombocytopenia Syndrome (NRNT)	Genetic_Disorder
Hypoplastic_Right_Heart_Syndrome	Right Hypoplastic Heart Syndrome (NRNT)	Genetic_Disorder
Pierre_Robin_Syndrome	Robin Sequence (NRNT)	Genetic_Disorder
Rubinstein_Taybi_Syndrome	Rubinstein-Taybi Syndrome (NRNT)	Genetic_Disorder
Silver-Russell_Syndrome	Russell-Silver Syndrome (NRNT)	Genetic_Disorder
Scimitar_Syndrome	Scimitar Syndrome (NRNT)	Genetic_Disorder
Smith-Lemli-Opitz_Syndrome	Smith-Lemli-Opitz Syndrome (NRNT)	Genetic_Disorder
Sotos_Syndrome	Sotos' Syndrome (NRNT)	Genetic_Disorder
Stickler_Syndrome	Stickler Syndrome (NRNT)	Genetic_Disorder
Tethered_Spinal_Cord_Syndrome	Tethered Cord (NRNT)	Genetic_Disorder
Arakawa_s_Syndrome_II	Tetrahydrofolate Methyltransferase Deficiency (NRNT)	Genetic_Disorder
Townes-Brocks_Syndrome	Townes Syndrome (NRNT)	Genetic_Disorder
TORCH_Syndrome	Toxoplasmosis, Other Infections, Rubella, Cytomegalovirus, and Herpes Simplex Virus (Torch) Syndrome (NRNT)	Genetic_Disorder
Treacher_Collins_Syndrome	Treacher Collins Syndrome (NRNT)	Genetic_Disorder
Van_der_Woude_Syndrome	Van Der Woude Syndrome (NRNT)	Genetic_Disorder
Waardenburg_Syndrome	Waardenburg's Syndrome (NRNT)	Genetic_Disorder
Williams_Syndrome	Williams Syndrome (NRNT)	Genetic_Disorder
Amniocentesis	Amniocentesis (PEDS)	Genetic_Screening
Chorionic_Villus_Sampling	Chorionic Villus Sampling (PEDS)	Genetic_Screening
Cystic_Fibrosis_Carrier_Screening	Cystic Fibrosis Carrier Screening (PEDS)	Genetic_Screening
Nuchal_Translucency_Screen	Nuchal Translucency Screen (PEDS)	Genetic_Screening
Quad_Screen	Quad Screen (PEDS)	Genetic_Screening
Triple_Screen	Triple Screen (PEDS)	Genetic_Screening
Karyotype	Karyotype (PEDS+NRNT)	Genetic_Testing
Crown_to_Rump_Length	Crown to Rump Length Measurement (PEDS)	Gestational_Weeks
Deficiency_of_Testosterone_Biosynthesis	Deficiency of Testosterone Biosynthesis (NRNT)	Gonadal_Disorder
Mullerian_Inhibiting_Substance_Deficiency	Mullerian Inhibiting Factor Deficiency (NRNT)	Gonadal_Disorder
Aortic_Coarctation	Coarctation of Aorta (NRNT)	Great_Vessels_Abnormality
Congenital_Abnormality_of_Vena_Cava	Congenital Abnormality of Vena Cava (NRNT)	Great_Vessels_Abnormality
Interrupted_Aortic_Arch	Interrupted Aortic Arch (NRNT)	Great_Vessels_Abnormality
Premature_Closure_of_the_Ductus_Arteriosus	Premature Closure of the Ductus Arteriosus (NRNT)	Great_Vessels_Abnormality
Pulmonary_Artery_Stenosis	Pulmonary Artery Stenosis (NRNT)	Great_Vessels_Abnormality
Aortic_Arch_Syndrome	Right Aortic Arch (NRNT)	Great_Vessels_Abnormality
Great_Vessels_Transposition	Transposition of Great Vessels (NRNT)	Great_Vessels_Abnormality
Vascular_Ring	Vascular Ring of Aorta (NRNT)	Great_Vessels_Abnormality
Dextro-Transposition_of_the_Great_Arteries	D - Transposition of the Great Vessels (NRNT)	Great_Vessels_Transposition
Levo-Transposition_of_the_Great_Arteries	Levo - Transposition of the Great Vessels (NRNT)	Great_Vessels_Transposition
Hysterectomy	Hysterectomy (PEDS)	Gynecological_Surgical_Procedure
Oophorectomy	Oophorectomy (PEDS)	Gynecological_Surgical_Procedure
Surgical_Contraception	Surgical Contraception Method (PEDS)	Gynecological_Surgical_Procedure
Procedure	Intervention or Procedure (PEDS+NRNT)	Healthcare_Activity
Research_Activity	Research Activity (PEDS)	Healthcare_Activity
Central_Hearing_Loss	Central Hearing Loss (PEDS)	Hearing_Loss
Conductive_Hearing_Loss	Conductive Hearing Loss (PEDS)	Hearing_Loss
Deafness	Deafness (PEDS)	Hearing_Loss
Mixed_Hearing_Loss	Mixed Hearing Loss (PEDS)	Hearing_Loss
Sensorineural_Deafness	Sensorineural Hearing Loss (PEDS)	Hearing_Loss
Arrhythmia	Cardiac Arrhythymia (PEDS)	Heart_Conduction_Disorder
Wolff-Parkinson-White_Syndrome	Wolff-Parkinson-White Syndrome (NRNT)	Heart_Conduction_Disorder
Cardiomyopathy	Cardiomyopathy (NRNT)	Heart_Disease
Heart_Conduction_Disorder	Conduction Disorder of the Heart (NRNT)	Heart_Disease
Congestive_Heart_Failure	Congestive Heart Failure (NRNT)	Heart_Disease
Endocardial_Fibroelastosis	Endocardial Fibroelastosis (NRNT)	Heart_Disease
Valvular_Heart_Disorder	Heart Valve Disorder (NRNT)	Heart_Disease
Myocardial_Infarction	Myocardial Infarction (NRNT)	Heart_Disease
Pericardial_Anomaly	Pericardial Anomaly (NRNT)	Heart_Disease
Pericardial_Effusion	Pericardial Effusion (NRNT)	Heart_Disease
Fetal_Heart_Rate	Fetal Heart Rate (PEDS+NRNT)	Heart_Rate
Newborn_Heart_Rate	Newborn Heart Rate (PEDS+NRNT)	Heart_Rate
Airway_Hemangioma	Airway Hemangioma (NRNT)	Hemangioma
Arteriovenous_Hemangioma	Arteriovenous Hemangioma (NRNT)	Hemangioma
Intra-Abdominal_Hemangioma	Hemangioma of Intra-Abdominal Structure (NRNT)	Hemangioma
